Domain,Resolution,Live
hellotxt.com,103.224.182.241,
thrdl.es,103.224.182.248,
2ty.in,103.224.182.250,
adfly.fr,103.224.182.250,
asso.in,103.224.182.250,
fff.re,103.224.182.250,
cf2.me,103.224.182.251,
twi.im,103.224.212.222,
0rz.tw,103.23.108.138,
ccj.im,103.255.179.162,
foe.hn,104.131.207.159,
atu.ca,104.131.76.158,
easyurl.net,104.131.76.158,
goshrink.com,104.131.76.158,
shrinkurl.in,104.149.216.159,
rdz.me,104.160.171.86,
to8.cc,104.160.171.86,
xav.cc,104.160.171.86,
azali.fr,104.17.210.73,
iscool.net,104.18.39.57,
dyo.gs,104.18.39.89,
linke.bid,104.18.41.181,
l.ly,104.18.42.31,
aqx.es,104.18.43.170,
gowat.ch,104.18.44.194,
lnk.co,104.18.44.225,
surl.me,104.18.52.206,
ping.fm,104.18.52.43,
yagoa.me,104.18.52.96,
zii.bz,104.18.54.225,
grabify.link,104.18.54.35,
url4.eu,104.18.58.34,
ph.ly,104.197.25.64,
ouo.io,104.20.1.139,
adf.ly,104.20.18.254,
tinyurl.com,104.20.218.42,
cutt.us,104.200.150.207,
ito.mx,104.236.131.142,
keep.re,104.24.101.143,
firsturl.de,104.24.102.202,
firsturl.de,104.24.103.202,
abbrr.com,104.24.104.119,
a.nf,104.24.105.16,
lc-s.co,104.24.111.192,
waa.ai,104.24.112.128,
bu.lk,104.24.112.76,
1-url.net,104.24.113.210,
s7y.us,104.24.119.5,
dfl8.me,104.24.122.161,
j.gs,104.24.4.46,
q.gs,104.24.4.46,
to.ly,104.24.9.9,
adfoc.us,104.25.174.15,
qqc.co,104.25.240.113,
utm.io,104.25.254.19,
any.gs,104.25.26.30,
gg.gg,104.25.29.112,
snip.ly,104.25.84.12,
yyv.co,104.26.15.68,
urlin.it,104.27.132.19,
cutt.eu,104.27.132.33,
7li.in,104.27.143.214,
shortcm.li,104.27.144.126,
zipansion.com,104.27.154.99,
bucks.as,104.27.163.150,
vsll.eu,104.27.167.2,
youfap.me,104.27.167.24,
muz.so,104.27.170.222,
ity.im,104.27.172.189,
ecra.se,104.27.174.197,
admy.link,104.27.178.49,
shrt.st,104.27.179.137,
vaza.me,104.27.181.213,
lynk.my,104.27.182.95,
kutt.it,104.27.186.11,
linkbun.ch,104.27.188.149,
shoturl.us,104.28.10.11,
nsfw.in,104.28.10.28,
al.ly,104.28.10.9,
blip.tv,104.28.12.165,
yep.it,104.28.13.119,
urlz.fr,104.28.14.54,
xua.me,104.28.18.202,
mby.me,104.28.27.44,
hec.su,104.28.3.19,
adb.ug,104.28.5.49,
an.to,104.28.8.106,
link.tl,104.31.0.161,
is.gd,104.31.14.172,
meteor.link,104.31.2.178,
v.gd,104.31.6.174,
2ad.in,104.31.71.127,
nig.gr,104.31.72.163,
sdu.sk,104.31.75.124,
a2a.me,104.31.75.156,
urlx.org,104.31.77.62,
link.do,104.31.77.81,
cjb.net,104.31.78.2,
hide.my,104.31.80.88,
lnk.direct,104.31.81.3,
ysear.ch,104.31.83.173,
chilp.it,104.31.84.42,
lt.tl,104.31.86.49,
lc.cx,104.31.88.131,
fff.to,104.31.92.64,
bacn.me,107.152.32.117,
sn.im,107.170.3.157,
snipr.com,107.170.3.157,
snipurl.com,107.170.3.157,
onelink.me,107.178.221.190,
smarturl.it,107.23.42.231,
zapit.nu,108.170.4.189,
lnkd.in,108.174.10.10,
inreply.to,108.61.156.11,
xeeurl.com,108.61.19.12,
fwd4.me,109.228.5.27,
ick.li,109.234.162.234,
mrw.so,111.230.1.211,
c23.biz,112.78.112.93,
just.as,115.29.224.244,
t.cn,116.211.169.137,
dd.ma,121.43.113.179,
bpl.kr,121.78.178.5,
ln-s.net,127.0.0.1,
twurl.nl,127.0.0.1,
xr.com,127.0.0.1,
short.cm,13.35.115.115,
checkd.info,13.58.57.95,
checkthe.info,13.58.57.95,
kwhit.com,13.58.57.95,
qr2.info,13.58.57.95,
qr2.mobi,13.58.57.95,
qrbridge.co,13.58.57.95,
qrbridge.me,13.58.57.95,
qrly.me,13.58.57.95,
qrto.co,13.58.57.95,
qrto.info,13.58.57.95,
qrto.mobi,13.58.57.95,
uqr.to,13.58.57.95,
uqr.me,13.59.233.211,
crg.ng,132.148.150.175,
zst.io,133.242.236.94,
